paragraph Nun,Sector Num,text,,,,,,,,,,,
1,1,Clarifying goals and raising performance standards for schools through shared national education goals that are aligned with the national socio-economic goals; learning standards and quality teaching processes,,,,,,,,,,,
2,1,Curriculum improvements to deliver educational goals with greater involvement of principals and teachers in curriculum design and communication and training on improved curriculum,,,,,,,,,,,
3,1,Attracting the best talent into teaching by recruiting the most capable candidates into teaching and preparing them for effective classroom practice,,,,,,,,,,,
4,1,Giving teachers the skills and tools to raise the quality of classroom instruction through continuous professional development and structured teaching- learning resources,,,,,,,,,,,
5,1,"Developing Principals to become Instructional Leaders _ through leadership training, professional support and instructional improvement processes",,,,,,,,,,,
6,1,"Enabling the capacity of schools to focus on learning and teaching through policies to promote autonomy, accountability, incentives and improving the quality of instructional tools and infrastructure facilities to support learning;",,,,,,,,,,,
7,1,"Maintain relentless focus on implementation _ demonstrate real changes in school, manage change and build institutional capacity to execute reforms;",,,,,,,,,,,
8,1,"´ææææææ Ensuring students grasp basic academic concepts, acquire essentials life skills and are fully equipped for college and professional life;",,,,,,,,,,,
9,1,The possible introduction of a vouchers scheme for meeting the targets for tertiary enrolment that will also encourage private participation in this sector,,,,,,,,,,,
10,1,"Targeted intervention programmes: Targeted intervention programmes will be developed to address disparities. The focus will be on Dzongkhags with education indicators below the national average and hard to reach communities, children in remote areas, nomadic communities etc. Targeted programmes will include activities like additional infrastructure facilities, improved teacher deployment, special incentive packages and in certain situation where cost of service delivery is very high it could include relocation of students to nearby schools with boarding facilities",,,,,,,,,,,
11,1,"Rationalization of schools: In pursuit of improving access, past Plans focused on extensive education infrastructure expansion program resulting in 553 schools and 112 Extended Classrooms(ECRs) forabout 180,000 schoolchildren. Whilefacilitating access and enhancing enrolment, this strategy has led to other challenges. The deployment of teachers continues to be a major issue due to the remote and difficult location of these extremely small schools. Due to lack of economies of scale the difficulty of providing appropriate and adequate infrastructure facilities and resources results in multi-grade teaching learning situations which ultimately compromise the overall quality of education.",,,,,,,,,,,
12,1,"Professional Development for Teachers:   Towards enhancing teacher morale and motion action and improving the quality of the teaching profession, Teacher Human Resource Policies and the In-Service Teacher Education and Training (INSET) Masterplan have been drawn up for implementation The Ministry of Education",,,,,,,,creation,and enterprise in education,through implementation,of research recommendation
13,1,"Improved service delivery and private participation: To ensure sustainability, school administration and governance system will be strengthened and private participation actively pursued. Tracking school rankings, teacher outcomes and improving public service delivery will enhanced through Performance Management Systems (PMS). Private participation and schemes to encourage self-financed students particularly in tertiary education will be developed.",,,,,,,,,,,
14,1,Construction of new schools based on need to increase space especially at the secondary levels,,,,,,,,,,,
15,1,"i)æææææ Provision  of  minimum  standard  facilities,  wherever  required,  to  ensure  a positive environment for teaching-learning process. These include facilities such as science labs, libraries, games and sports facilities, computers, ICT infrastructure, etc ;",,,,,,,,,,,
16,1,"Consolidation of schools through provision of additional facilities such as hostels, kitchen and store, warden/matron quarters, toilet facilities, water supply, dining hall, etc. in nearby schools and rationalizing smaller schools",,,,,,,,,,,
17,1,i)æææææ Provision of staff quarters/allowances especially in remote and rural areas to make rural position action and improve quality of education in the remote location,,,,,,,,,,,
18,1,i)æææææ Addressing gender gaps at higher secondary level through provision of gender responsive facilities such as hostels and hostel toilets for girlsÍ toilets and housing for female teachers;,,,,,,,,,,,
19,1,"i)æææææ Strengthening curriculum research and development and finding mechanisms to enhance efficiency, accountability and retain specialized skills;",,,,,,,,,,,
20,1,i)æææææ Enhance capacity of tertiary education to achieve GER at tertiary education of 35 percent by 2017-18;,,,,,,,,,,,
21,1,i)æææææ Enhance quality and relevance of tertiary education programmes to meet the needs of individuals as well as the industry and society at large.,,,,,,,,,,,
22,1,"Improve quality of TVET/VTI _ infrastructure expansion, program diversification and curriculum improvement in close collaboration with the industries and private sector; and improving capacity of the instructors.",,,,,,,,,,,
23,2,"Health Prevention and Promotion _ There has been global evidences to indicate that investment in health prevention and promotion aspects are more cost effective, than treating diseases, particularly the NCDs, which requires lifelong and expensive treatment. Emphasis will be continued to strengthen preventive and health promotion, through intensifying awareness programmes, enhancing cross- sectoral coordination, and advocating for health in all policies to address public health challenges such as, but not limiting to NCDs, injuries, HIV/AIDS, TB, Malaria, Maternal and Child Health, Nutrition and Neglected tropical Diseases.",,,,,,,,,,,
24,2,"Health human resources development _ Development of health human resource in line with the Health HRD Master Plan shall be accelerated. Effective planning and efficient deployment of health personnel to improve service delivery will be pursued. The deployment of health personnel to hospitals, BHUs and ORCs will be need-based depending on number of patients attended by these health centres.",,,,,,,,,,,
25,2,"Sustainable Health Financing _ There is a global push to go for achieving Universal Health Coverage (UHC). For a developing country like Bhutan, in order to achieve UHC, almost 5 percent of the GDP and 8 percent of the total government budget needs to be allocated to health sector. In addition, measures such as enhancing effectiveness and improving efficiency, and other alternative options to maintain constitutional commitment to provide free health care services and also to achieve UHC will be explored.",,,,,,,,,,,
