,targetNumber,targetText
0,0,"1 Eleventh Five Year Plan - Main Document Volume I ELEVENTH FIVE YEAR PLAN 1st July 2013 30th June 2018 MAIN DOCUMENT VOLUME 1 Gross National Happiness Commission, Royal Government of Bhutan 2 Eleventh Five Year Plan - Main Document Volume I Eleventh Five Year Plan Document Copyright Gross National Happiness Commission (2013) Published by: Gross National Happiness Commission, Royal Government of Bhutan."
1,1,ISBN 978-99936-55-01-5 3 Eleventh Five Year Plan - Main Document Volume I HIS MAJESTY THE KING JIGME KHESAR NAMGYEL WANGCHUCK 4 Eleventh Five Year Plan - Main Document Volume I 5 Eleventh Five Year Plan - Main Document Volume I Our Nation has seen great socio-economic growth but it is more important that we have growth with equity.
2,2,"We must raise, with all our effort, the less fortunate so that they may, at the earliest, begin to partake in the opportunities brought by modernization and progress."
3,3,The government has provided education to our youth.
4,4,"But for the nation to prosper for all time, a sound education must be succeeded by access to the right jobs and responsibilities, so that our youth may bloom as individuals and at the same time serve their Nation well."
5,5,The recent Rupee shortage is a serious problem.
6,6,"I feel it is a reminder that, as a Nation, we must exercise our traditional sense of caution and work even harder as we address the challenges of the time."
7,7,"For no matter what challenges lie ahead, it is only the Bhutanese citizen who can protect and safeguard Bhutan."
8,8,"- His Majesty The Kings address to the nation during the 105th National Day celebrations, 17th December 2012, in Thimphu."
9,9,It is guided by His Majesty the Kings Vision for Bhutan and the national priorities that have been consistently underscored in Royal Addresses to the nation.
10,10,The Plan sets out an ambitious development agenda to achieve this objective and fulfill the current Governments pledge of ensuring Prosperity for All through effective empowerment of the people Wangtse Chhirpel.
11,11,"Chapter One presents the development planning framework, efforts towards operationalizing Gross National Happiness (GNH) and key milestones to be achieved by 2020 - Bhutans development planning framework continues to be guided by our development philosophy of GNH which encompasses the four pillars of sustainable and equitable socio-economic development, preservation and promotion of culture, conservation and sustainable utilization and management of the environment, and promotion of good governance."
12,12,"The GNH Index is based on biennial surveys and provides an overview of performance across 9 domains of GNH that include health, education, living standards, ecological diversity and resilience, good governance, psychological wellbeing, time use, community vitality and cultural diversity and resilience."
13,13,"Based on the 2010 GNH Index composite score of 0.743, 41 percent of Bhutanese were identified as happy being sufficient in 73 percent of the domains while the remaining 59 percent enjoyed sufficiency in 57 percent of the domains."
14,14,The GNH Policy Screening has been used as a tool to assess the impact of new policies on GNH and to mainstream GNH into all new policies being formulated against twenty-two variables representing the 9 domains of GNH.
15,15,"Since its introduction, twelve policies related to human resources, youth, education, health and nutrition, land, natural resources, and industries have been approved."
16,16,A notable paradigm shift of the Eleventh Plan is the adoption of a Results Based Planning (RBP) framework that articulates clear outcomes and outputs that need to be achieved in order to realize the Eleventh Plan objective of Self-reliance and Inclusive Green Socio-Economic Development.
17,17,"The outcomes are defined as Key 4 Eleventh Five Year Plan - Main Document Volume I Results Areas (KRAs) at the national, sectoral, and Dzongkhag level and categorized under each of the four pillars of GNH."
18,18,"At the national level, 16 National Key Result Areas (NKRAs) have been identified."
19,19,"At the sector and Dzongkhag levels, more than 300 Sector Key Result Areas (SKRAs) and Dzongkhag Key Result Areas (DKRAs) that are aligned to meet the 16 NKRAs have been identified."
20,20,"Furthermore, the performance of all government agencies towards the delivery of the NKRAs, SKRAs and DKRAs are measured through corresponding Key Performance Indicators (KPIs)."
21,21,The KRAs are a result of extensive consultations with stakeholders right down to the grassroots level.
