,Paragraph,T_Cosine,Goal,Target,PText,TargetText
0,0,0.050021041,16,16.1,"Eleventh Five Year Plan   Main Document Volume I  1   ELEVENTH FIVE YEAR  PLAN   1st July 2013 – 30th June 2018  MAIN DOCUMENT – VOLUME 1  Gross National Happiness Commission, Royal Government of Bhutan     Eleventh Five Year Plan   Main Document Volume I  2  Eleventh Five Year Plan Document  © Copyright Gross National Happiness Commission (2013)  Published by: Gross National Happiness Commission, Royal Government of Bhutan",Significantly reduce all forms of violence and related death rates everywhere 
1,0,0.050021041,16,16.1,"Eleventh Five Year Plan   Main Document Volume I  1   ELEVENTH FIVE YEAR  PLAN   1st July 2013 – 30th June 2018  MAIN DOCUMENT – VOLUME 1  Gross National Happiness Commission, Royal Government of Bhutan     Eleventh Five Year Plan   Main Document Volume I  2  Eleventh Five Year Plan Document  © Copyright Gross National Happiness Commission (2013)  Published by: Gross National Happiness Commission, Royal Government of Bhutan","Ensure public access to information and protect fundamental freedoms, in accordance with national legislation and international agreements "
2,1,0.087834267,8,8.1,"ISBN 978 99936 55 01 5     Eleventh Five Year Plan   Main Document Volume I   HIS MAJESTY THE KING JIGME KHESAR NAMGYEL WANGCHUCK      Eleventh Five Year Plan   Main Document Volume I     Eleventh Five Year Plan   Main Document Volume I  Our Nation has seen great socio economic growth but it is more important  that we have growth with equity. We must raise, with all our effort, the less  fortunate so that they may, at the earliest, begin to partake in the opportunities  brought by modernization and progress","Sustain per capita economic growth in accordance with national circumstances and, in particular, at least 7 per cent gross domestic product growth per annum in the least developed countries "
3,1,0.087834267,8,8.1,"ISBN 978 99936 55 01 5     Eleventh Five Year Plan   Main Document Volume I   HIS MAJESTY THE KING JIGME KHESAR NAMGYEL WANGCHUCK      Eleventh Five Year Plan   Main Document Volume I     Eleventh Five Year Plan   Main Document Volume I  Our Nation has seen great socio economic growth but it is more important  that we have growth with equity. We must raise, with all our effort, the less  fortunate so that they may, at the earliest, begin to partake in the opportunities  brought by modernization and progress","Strengthen the capacity of domestic financial institutions to encourage and expand access to banking, insurance and financial services for all "
4,2,0.126090458,3,3.11,"The government has provided education to our youth. But for the nation to  prosper for all time, a sound education must be succeeded by access to the right  jobs and responsibilities, so that our youth may bloom as individuals and at the  same time serve their Nation well","Support the research and development of vaccines and medicines for the communicable and non-communicable diseases that primarily affect developing countries, provide access to affordable essential medicines and vaccines, in accordance with the Doha Declaration on the TRIPS Agreement and Public Health, which affirms the right of developing countries to use to the full the provisions in the Agreement on Trade-Related Aspects of Intellectual Property Rights regarding flexibilities to protect public health, and, in particular, provide access to medicines for all "
5,3,0.070568748,8,8.5," The recent Rupee shortage is a serious problem. I feel it is a reminder that, as a  Nation, we must exercise our traditional sense of caution and work even harder  as we address the challenges of the time. For no matter what challenges lie  ahead, it is only the Bhutanese citizen who can protect and safeguard Bhutan","By 2030, achieve full and productive employment and decent work for all women and men, including for young people and persons with disabilities, and equal pay for work of equal value "
6,8,0.040826763,14,14.7,"Royal Government of Bhutan  PRIME MINISTER     Eleventh Five Year Plan   Main Document Volume I     Eleventh Five Year Plan   Main Document Volume I  TABLE OF CONTENTS  ACRONYMS..xix  GLOSSARYxx  EXECUTIVE SUMMARY.1  1. BACKGROUND ..27  1.1 Introduction29  1.2 Development Planning Framework.29  1.2.1 Result Based Planning30  1.2.2 Plan Preparation..31  1.3 Operationalizing Gross National Happiness.32  1.3.1 GNH Index32  1.3.2 GNH Policy Screening.35  1.4 Key Development Milestones.36  1.4.1 Bhutan 2020   A Vision for Peace, Prosperity and Happiness.36  1.4.2 Economic Development Policy 2010 (EDP 2010)..40  1.4.3 Least Developed Country (LDCs) Status.43  2 CURRENT SITUATION..47  2.1 Population..49  2.1.1 Population and Distribution..49  2.1.2 Growth Rate.50  2.1.3 Age Structure and Sex Composition.51  2.1.4 Differently abled Persons51  2.1.5 Migration52  2.1.6 Population Projections – 2020, 2030 and 2050..52  2.2 Sustainable and Equitable Socio economic Development55  2.2.1 Poverty55  2.2.2 Multi dimensional Poverty58  2.2.3 Income Poverty, Multi dimensional Poverty and GNH Index..59  2.2.4 Millennium Development Goals.59  2.3 Preservation and Promotion of Culture61  2.3.1 Cultural Heritage and Tradition..62  2.3.2 Culture and Livelihood63  2.4 Conservation and Sustainable Utilization and Management    of Environment64  2.5 Promotion of Good Governance..66  2.5.1 Democracy and Governance66  2.5.2 Public Service Management.67  2.5.3 Transparency, Accountability and Control of Corruption..69     Eleventh Five Year Plan   Main Document Volume I  2.5.4 Media..70  2.5.5 Women’s Empowerment and Gender Equality..71  2.5.6 Promotion and Protection of Child Rights.73  2.5.7 Civil Society Organizations (CSO)..75  2.5.8 Mainstreaming of Cross Cutting Issues..76  3 MACRO ECONOMIC SITUATION AND OUTLOOK77  3.1 Macro Economic Situation.79  3.1.1 Real Sector.80  3.1.2 External Sector85  3.1.3 Monetary Sector.87  3.1.4 Fiscal Sector..91  3.2 Macro economic outlook96  3.2.1 Real Sector Outlook..96  3.2.2 External Sector Outlook.97  3.2.3 Fiscal Outlook (without hydropower debt servicing)101  3.2.4 Fiscal Sector Outlook (with hydropower debt servicing)106  3.2.5 Public Debt Stock107  4 ELEVENTH PLAN109  4.1 Eleventh Plan Objective.111  4.2 National Key Result Areas (NKRAs)/Key Performance    Indicators (KPIs)111  4.2.1 Sustainable and equitable socio economic development.112  4.2.2 Preservation and promotion of culture..116  4.2.3 Conservation and sustainable utilization of environment.117  4.2.4 Good Governance..119  4.3 Sector and Dzongkhag Key Result Areas (SKRAs/DKRAs)/Key    Performance Indicators (KPIs)122  4.4 Strategic Thrust Areas123  4.4.1 Inclusive Social Development..123  4.4.2 Green Accelerated Economic Development.125  4.4.3 Strategic Infrastructure Development.128  4.5 Monitoring and Evaluation..130  4.5.1 Integrated Planning and Monitoring System130  4.5.2 Mid Term Review132  4.5.3 Round Table Meeting132  5. CENTRAL PLANS133  5.1 Education Sector135  5.1.1 Current Situation137     Eleventh Five Year Plan   Main Document Volume I  5.1.2 Key Challenges.138  5.1.3 Sector Key Result Areas..143  5.1.4 Strategies145  5.1.5 Key Programmes.147  5.2 Health Sector..149  5.2.1 Current Situation149  5.2.2 Key Challenges.150  5.2.3 Sector Key Result Areas..155  5.2.4 Strategies156  5.2.5 Key Programmes.157  5.3 Human Resource Development & Management159  5.3.1 Current Situation159  5.3.2 Key Challenges.159  5.3.3 Sector Key Result Areas..161  5.3.4 Strategies161  5.4 Employment162  5.4.1 Current Situation162  5.4.2 Key Challenges.165  5.4.3 Sector Key Result Areas..168  5.4.4 Strategies168  5.4.5 Key Programmes.169  5.5 Renewable Natural Resources (RNR) Sector 170  5.5.1 Current Situation171  5.5.2 Key Challenge..172  5.5.3 Sector Key Result Areas..173  5.5.4 Strategies174  5.5.5 Key programmes.175  5.6 Tourism Sector176  5.6.1 Current Situation176  5.6.2 Key Challenges.177  5.6.3 Sector Key Result Areas..178  5.6.4 Strategies178  5.6.5 Key Programmes.178  5.7 Trade, Industries & Mines Sector..180  5.7.1 Current Situation180  5.7.2 Key Challenges.184  5.7.3 Sector Key Result Areas..186  5.7.4 Strategies187     Eleventh Five Year Plan   Main Document Volume I  5.7.5 Key Programmes.188  5.8 Hydropower, Renewable Energy and Hydromet Sector..191  5.8.1 Current Situation191  5.8.2 Key Challenges.193  5.8.3 Sector Key Result Areas..194  5.8.4 Strategies195  5.8.5 Key Programmes.195  5.9 Information, Communication & Technology and Media Sector..197  5.9.1 Current Situation198  5.9.2 Key Challenges.199  5.9.3 Sector Key Result Areas..200  5.9.4 Strategies201  5.9.5 Key Programmes.201  5.10 Transport Sector202  5.10.1 Current Situation.202  5.10.2 Key Challenges..203  5.10.3 Sector Key Result Areas205  5.10.4 Strategies.205  5.10.5 Key Programmes..206  5.11 Roads & Bridges Sector..207  5.11.1 Current Situation.207  5.11.2 Key Challenges..208  5.11.3 Sector Key Result Areas210  5.11.4 Strategies.210  5.11.5 Key Programmes..211  5.12 Construction Sector.212  5.12.1 Current Situation.213  5.12.2 Key Challenges..214  5.12.3 Sector Key Result Areas215  5.12.4 Strategies.215  5.12.5 Key programmes..216  5.13 Human Settlement & Housing Sector..217  5.13.1 Current Situation.217  5.13.2 Key Challenges..219  5.13.3 Sector Key Result Areas220  5.13.4 Strategies.221  5.13.5 Key Programmes..221  5.14 Emerging Social Challenges.222     Eleventh Five Year Plan   Main Document Volume I  5.14.1 Current Situation.222  5.14.2 Key Challenges..228  5.14.3 Strategies.228  5.15 Sports.229  5.15.1 Current Situation.229  5.15.2 Key Challenges..229  5.15.3 Sector Key Result Areas230  5.15.4 Strategies.230  5.16 Preservation and Promotion of Culture.231  5.16.1 Current Situation.231  5.16.2 Key Challenges..232  5.16.3 Sector Key Result Areas233  5.16.4 Strategies.233  5.16.5 Key Programmes:.234  5.17 Conservation of Environment.235  5.17.1 Current Situation.235  5.17.2 Key Challenges..238  5.17.3 Sector Key Result Areas241  5.17.4 Strategies.241  5.17.5 Key Programmes..242  5.18 Good Governance.243  5.18.1 Current Situation.243  5.18.2 Key Challenges..245  5.18.3 Sector Key Result Areas246  5.18.4 Strategies.246  6. LOCAL GOVERNMENT PLANS..247  6.1 Introduction249  6.1.1 Planning Process.250  6.1.2 Resource Allocation Formula250  6.1.3 Capital Allocation251  6.2.1 Bumthang Dzongkhag..261  6.2.1.1 Current Situation..261  6.2.1.2 Key Opportunities/Challenges262  6.2.1.3 Strategies..263  6.2.1.4 Dzongkhag Key Result Areas265  6.2.2 Chukha Dzongkhag268  6.2.2.1 Current Situation..268  6.2.2.2 Key Opportunities/Challenges269     Eleventh Five Year Plan   Main Document Volume I  6.2.2.3 Strategies..270  6.2.2.4 Dzongkhag Key Result Areas271  6.2.3 Dagana Dzongkhag273  6.2.3.1 Current Situation..273  6.2.3.2 Key Opportunities/Challenges274  6.2.3.3 Strategies..275  6.2.3.4 Dzongkhag Key Result Area.276  6.2.4 Gasa Dzongkhag..280  6.2.4.1 Current Situation..280  6.2.4.2 Key Opportunities/Challenges281  6.2.4.3 Strategies..282  6.2.4.4 Dzongkhag Key Result Area.284  6.2.5 Haa Dzongkhag287  6.2.5.1 Current Situation..287  6.2.5.2 Key Opportunities/Challenges288  6.2.5.3 Strategies..289  6.2.5.4 Dzongkhag Key Result Areas290  6.2.6 Lhuentse Dzongkhag.293  6.2.6.1 Current Situation ..293  6.2.6.2 Key Opportunities/Challenges294  6.2.6.3 Strategies..294  6.2.6.4 Dzongkhag Key Result Areas296  6.2.7 Mongar Dzongkhag299  6.2.7.1 Current Situation..299  6.2.7.2 Key Opportunities/Challenges300  6.2.7.3 Strategies..301  6.2.7.4 Dzongkhag Key Result Areas303  6.2.8 Paro Dzongkhag..306  6.2.8.1 Current Situation..306  6.2.8.2 Key Opportunities/Challenges306  6.2.8.3 Strategies..307  6.2.8.4 Dzongkhag Key Result Areas309  6.2.9 Pemagatshel Dzongkhag.312  6.2.9.1 Current Situation..312  6.2.9.2 Key Opportunities/Challenges313  6.2.9.3 Strategies..314  6.2.9.4 Dzongkhag Key Result Area.315  6.2.10 Punakha Dzongkhag..318     Eleventh Five Year Plan   Main Document Volume I  6.2.10.1 Current Situation318  6.2.10.2 Key Opportunities/Challenges.319  6.2.10.3 Strategies319  6.2.10.4 Dzongkhag Key Result Areas.321  6.2.11 Samdrup Jongkhar Dzongkhag.325  6.2.11.1 Current Situation325  6.2.11.2 Key Opportunities/Challenges.326  6.2.11.3 Strategies326  6.2.11.4 Dzongkhag Key Result Areas..328  6.2.12 Sarpang Dzongkhag332  6.2.12.1 Current Situation332  6.2.12.2 Key Opportunities/Challenges.333  6.2.12.3 Strategies334  6.2.12.4 Dzongkhag Key Result Area..335  6.2.13 Samtse Dzongkhag.339  6.2.13.1 Current Situation339  6.2.13.2 Key Opportunities/Challenges.340  6.2.13.3 Strategies341  6.2.13.4 Dzongkhag Key Result Area..342  6.2.14 Tsirang Dzongkhag.345  6.2.14.1 Current Situation345  6.2.14.2 Key Opportunities/Challenges.346  6.2.14.3 Strategies346  6.2.13.4 Dzongkhag Key Result Area..348  6.2.15 Trashigang Dzongkhag..350  6.2.15.1 Current Situation350  6.2.15.2 Key Opportunities/Challenges.351  6.2.15.3 Strategies352  6.2.15.4 Dzongkhag Key Result Areas.353  6.2.16 Trashiyangtse Dzongkhag356  6.2.16.1 Current Situation356  6.2.16.2 Key Opportunities/Challenges.357  6.2.16.3 Strategies357  6.2.16.4 Dzongkhag Key Result Area..359  6.2.17 Trongsa Dzongkhag.361  6.2.17.1 Current Situation361  6.2.17.2 Key Opportunities/Challenges.362  6.2.17.3 Strategies:..362     Eleventh Five Year Plan   Main Document Volume I  6.2.17.4 Dzongkhag Key Result Areas.364  6.2.18 Thimphu Dzongkhag..367  6.2.18.1 Current Situation367  6.2.18.2 Key Opportunities/Challenges.368  6.2.18.3 Strategies369  6.2.18.4 Dzongkhag Key Results Area370  6.2.19 Wangduephodrang Dzongkhag..373  6.2.19.1 Current Situation373  6.2.19.2 Key Opportunities/Challenges.374  6.2.19.3 Strategies375  6.2.19.4 Dzongkhag Key Result Area..376  6.2.20 Zhemgang Dzongkhag..378  6.2.20.1 Current Situation378  6.2.20.2 Key Opportunities/Challenges.379  6.2.20.3 Strategies380  6.2.20.4 Dzongkhag Key Result Areas.382  6.3.1 Gelephu Thromde386  6.3.1.1 Current Situation..386  6.3.1.2 Key Opportunities/Challenges386  6.3.1.3 Strategies..387  6.3.1.4 Thromde Key Result Areas388  6.3.2 Phuentsholing Thromde..389  6.3.2.1 Current Situation..389  6.3.2.2 Key Opportunities/Challenges390  6.3.2.3 Strategies..390  6.3.2.4 Thromde Key Result Areas392  6.3.3 Samdrup Jongkhar Thromde.394  6.3.3.1 Current Situation..394  6.3.3.2 Key Opportunities/Challenges394  6.3.3.3 Strategies..395  6.3.3.4 Thromde Key Result Areas397  6.3.4 Thimphu Thromde .399  6.3.4.1 Current Situation..399  6.3.4.2 Key Opportunities/Challenges399  6.3.4.3 Strategies..400  6.3.4.4 Thromde Key Result Areas401     Eleventh Five Year Plan   Main Document Volume I   ACRONYMS  ADB Asian Development Bank  ANER Adjusted Net Enrolment Rate  AHB Annual Health Bulletin  AES Annual Education Statistics   BMIS Bhutan Multiple Indicator Survey 2010  BLSS 2012 Bhutan Living Standard Survey 2012  CBS Centre for Bhutan Studies  CPI Consumer Price Index  DKRAs Dzongkhag Key Result Areas  GDCF Gross Domestic Capital Formation   GER Gross Enrolment Rate  GPI Gender Parity Index  EDP Economic Development Policy 2010  FYP Five Year Plan  GNH Gross National Happiness  GNHC Gross National Happiness Commission  KPIs Key Performance Indicators  LDC Least Developed Country  MDGs Millennium Development Goals  MFCC Macroeconomic Framework Coordination Committee  MoEA Ministry of Economic Affairs  MoF Ministry of Finance  MTFF Medium Term Fiscal Framework  MYRB Multi Year Rolling Budget  NRH National Rehabilitation Programme  NER Net Enrolment Rate  NSB National Statistics Bureau, Royal Government of Bhutan  Nu Bhutanese Ngultrum  NKRAs National Key Result Areas   HRD Human Resource Development  INR Indian Rupee   LFS 2012 Labour Force Survey 2012  PAR 2012 Poverty Analysis Report 2012  PEMS Public Expenditure Management System  PHCB 2005 Population and Housing Census of Bhutan 2005     Eleventh Five Year Plan   Main Document Volume I  PLaMS Planning and Monitoring System  REAP Rural Economy Advancement Programme  RGoB Royal Government of Bhutan  RISE Rapid Investment in Selected Sectors  RMA Royal Monetary Authority   SKRAs Sectoral Key Result Areas  TVET Technical and Vocational Education and Training  USD US Dollars   UNDESA UN Department for Economic and Social Affairs  GLOSARY  Dzongkha National language  Dzongkhag District  Dzongkhag Tshogdu (DT) District Development Committee  Driglam Namzha Etiquette/national traditions   Gewog Block  Gewog Tshogde (GT) Block Development Committee  Kasho Royal Decree  Thromde Municipality     Eleventh Five Year Plan   Main Document Volume I  EXECUTIVE SUMMARY     Eleventh Five Year Plan   Main Document Volume I     Eleventh Five Year Plan   Main Document Volume I  EXECUTIVE SUMMARY  The Eleventh Five Year Plan is the second five year plan to be implemented since  the introduction of Democratic Constitutional Monarchy in 2008. It builds on the  strong foundations that have been laid since the inception of planned development  in 1961. It is guided by His Majesty the King’s Vision for Bhutan and the national  priorities that have been consistently underscored in Royal Addresses to the nation.  The Plan sets out an ambitious development agenda to achieve this objective and  fulfill the current Government’s pledge of ensuring “Prosperity for All” through  effective empowerment of the people – “Wangtse Chhirpel”","By 2030, increase the economic benefits to Small Island developing States and least developed countries from the sustainable use of marine resources, including through sustainable management of fisheries, aquaculture and tourism "
7,9,0.066487779,14,14.1,"Chapter One presents the development planning framework, efforts towards  operationalizing Gross National Happiness (GNH) and key milestones to be achieved  by 2020   Bhutan’s development planning framework continues to be guided by our  development philosophy of GNH which encompasses the four pillars of sustainable  and equitable socio economic development, preservation and promotion of culture,  conservation and sustainable utilization and management of the environment, and  promotion of good governance. Pursuant to Article 9 2 of the Constitution, which  directs the State “to promote those conditions that will enable the pursuit of Gross  National Happiness”, the operational aspects of GNH have been strengthened,  most notably with the introduction of the GNH Index in 2008 and the GNH Policy  Screening Tool in 2009. The GNH Index is based on biennial surveys and provides an  overview of performance across 9 domains of GNH that include health, education,  living standards, ecological diversity and resilience, good governance, psychological  wellbeing, time use, community vitality and cultural diversity and resilience.  Based on the 2010 GNH Index composite score of 0.743, 41 percent of Bhutanese  were identified as happy being sufficient in 73 percent of the domains while the  remaining 59 percent enjoyed sufficiency in 57 percent of the domains. The GNH  Policy Screening has been used as a tool to assess the impact of new policies on GNH  and to mainstream GNH into all new policies being formulated against twenty two  variables representing the 9 domains of GNH. Since its introduction, twelve policies  related to human resources, youth, education, health and nutrition, land, natural  resources, and industries have been approved","By 2025, prevent and significantly reduce marine pollution of all kinds, in particular from land-based activities, including marine debris and nutrient pollution "
8,9,0.066487779,14,14.1,"Chapter One presents the development planning framework, efforts towards  operationalizing Gross National Happiness (GNH) and key milestones to be achieved  by 2020   Bhutan’s development planning framework continues to be guided by our  development philosophy of GNH which encompasses the four pillars of sustainable  and equitable socio economic development, preservation and promotion of culture,  conservation and sustainable utilization and management of the environment, and  promotion of good governance. Pursuant to Article 9 2 of the Constitution, which  directs the State “to promote those conditions that will enable the pursuit of Gross  National Happiness”, the operational aspects of GNH have been strengthened,  most notably with the introduction of the GNH Index in 2008 and the GNH Policy  Screening Tool in 2009. The GNH Index is based on biennial surveys and provides an  overview of performance across 9 domains of GNH that include health, education,  living standards, ecological diversity and resilience, good governance, psychological  wellbeing, time use, community vitality and cultural diversity and resilience.  Based on the 2010 GNH Index composite score of 0.743, 41 percent of Bhutanese  were identified as happy being sufficient in 73 percent of the domains while the  remaining 59 percent enjoyed sufficiency in 57 percent of the domains. The GNH  Policy Screening has been used as a tool to assess the impact of new policies on GNH  and to mainstream GNH into all new policies being formulated against twenty two  variables representing the 9 domains of GNH. Since its introduction, twelve policies  related to human resources, youth, education, health and nutrition, land, natural  resources, and industries have been approved","Enhance the conservation and sustainable use of oceans and their resources by implementing international law as reflected in UNCLOS, which provides the legal framework for the conservation and sustainable use of oceans and their resources, as recalled in paragraph 158 of The Future We Want"
9,10,0.025719327,13,13.2,"A notable paradigm shift of the Eleventh Plan is the adoption of a Results Based  Planning (RBP) framework that articulates clear outcomes and outputs that need  to be achieved in order to realize the Eleventh Plan objective of “Self reliance and  Inclusive Green Socio Economic Development”. The outcomes are defined as Key      Eleventh Five Year Plan   Main Document Volume I  Results Areas (KRAs) at the national, sectoral, and Dzongkhag level and categorized  under each of the four pillars of GNH. At the national level, 16 National Key Result  Areas (NKRAs) have been identified. At the sector and Dzongkhag levels, more  than 300 Sector Key Result Areas (SKRAs) and Dzongkhag Key Result Areas (DKRAs)  that are aligned to meet the 16 NKRAs have been identified. Furthermore, the  performance of all government agencies towards the delivery of the NKRAs, SKRAs  and DKRAs are measured through corresponding Key Performance Indicators (KPIs).  The KRAs are a result of extensive consultations with stakeholders’ right down to  the grassroots level. In defining them, key aspects of the Vision 2020, Economic  Development Policy 2010 (EDP 2010), the GNH 2010 Index, the Millennium  Development Goals (MDGs) the SAARC Development Goals (SDGs), the Istanbul  Programme of Action (IPoA), and the Strategy for GNH (SGNH) have also been  taken into consideration","Integrate climate change measures into national policies, strategies and planning "
